!Sample_title	ID_REF
Blood Control individualHFS101	GSM860457
Blood Control individualHFS105	GSM860458
Blood Control individualHFS106	GSM860459
Blood Control individualHFS109	GSM860460
Blood Control individualHFS110	GSM860461
Blood Control individualHFS111	GSM860462
Blood Control individualHFS112	GSM860463
Blood Control individualHFS113	GSM860464
Blood Control individualHFS114	GSM860465
Blood Control individualHFS115	GSM860466
Blood Control individualHFS116	GSM860467
Blood Control individualHFS117	GSM860468
Blood Control individualHFS118	GSM860469
Blood Control individualHFS119	GSM860470
Blood Control individualHFS120	GSM860471
Blood Control individualHFS122	GSM860472
Blood Control individualHFS124	GSM860473
Blood Control individualHFS126	GSM860474
Blood Control individualHFS127	GSM860475
Blood Control individualHFS129	GSM860476
Blood Control individualHFS130	GSM860477
Blood Control individualHFS131	GSM860478
Blood Control individualHFS132	GSM860479
Blood Control individualHFS134	GSM860480
Blood Control individualHFS135	GSM860481
Blood Control individualHFS136	GSM860482
Blood Control individualHFS137	GSM860483
Blood Control individualHFS138	GSM860484
Blood Control individualHFS139	GSM860485
Blood Control individualHFS140	GSM860486
Blood Control individualHFS141	GSM860487
Blood Control individualHFS143	GSM860488
Blood Control individualHFS144	GSM860489
Blood Control individualHFS145	GSM860490
Blood Control individualHFS146	GSM860491
Blood Control individualHFS147	GSM860492
Blood Control individualHFS148	GSM860493
Blood Control individualHFS149	GSM860494
Blood Control individualHFS150	GSM860495
Blood Control individualHFS151	GSM860496
Blood Control individualHFS152	GSM860497
Blood Control individualHFS153	GSM860498
Blood Control individualHFS154	GSM860499
Blood Control individualHFS156	GSM860500
Blood Control individualHFS157	GSM860501
Blood Control individualHFS158	GSM860502
Blood Control individualHFS159	GSM860503
Blood Control individualHFS160	GSM860504
Blood Control individualHFS161	GSM860505
Blood Control individualHFS162	GSM860506
Blood Control individualHFS163	GSM860507
Blood Control individualHFS164	GSM860508
Blood Control individualHFS165	GSM860509
Blood Control individualHFS166	GSM860510
Blood Control individualHFS167	GSM860511
Blood Control individualHFS168	GSM860512
Blood Control individualHFS169	GSM860513
Blood Control individualHFS170	GSM860514
Blood Control individualHFS171	GSM860515
Blood Control individualHFS172	GSM860516
Blood Control individualHFS173	GSM860517
Blood SCD patientA0005	GSM860207
Blood SCD patientA0006	GSM860208
Blood SCD patientA0007	GSM860209
Blood SCD patientA0008	GSM860210
Blood SCD patientA0009	GSM860211
Blood SCD patientA0010	GSM860212
Blood SCD patientA0011	GSM860213
Blood SCD patientA0012	GSM860214
Blood SCD patientA0013	GSM860215
Blood SCD patientA0014	GSM860216
Blood SCD patientA0015	GSM860217
Blood SCD patientA0016	GSM860218
Blood SCD patientA0017	GSM860219
Blood SCD patientA0018	GSM860220
Blood SCD patientA0019	GSM860221
Blood SCD patientA0020	GSM860222
Blood SCD patientA0021	GSM860223
Blood SCD patientA0022	GSM860224
Blood SCD patientA0023	GSM860225
Blood SCD patientA0024	GSM860226
Blood SCD patientA0027	GSM860227
Blood SCD patientA0028	GSM860228
Blood SCD patientA0029	GSM860229
Blood SCD patientA0030	GSM860230
Blood SCD patientA0031	GSM860231
Blood SCD patientA0032	GSM860232
Blood SCD patientA0033	GSM860233
Blood SCD patientA0034	GSM860234
Blood SCD patientA0035	GSM860235
Blood SCD patientA0036	GSM860236
Blood SCD patientA0037	GSM860237
Blood SCD patientA0038	GSM860238
Blood SCD patientA0040	GSM860239
Blood SCD patientA0041	GSM860240
Blood SCD patientA0043	GSM860241
Blood SCD patientA0044	GSM860242
Blood SCD patientA0045	GSM860243
Blood SCD patientA0046	GSM860244
Blood SCD patientA0047	GSM860245
Blood SCD patientA0048	GSM860246
Blood SCD patientA0049	GSM860247
Blood SCD patientA0050	GSM860248
Blood SCD patientA0051	GSM860249
Blood SCD patientA0052	GSM860250
Blood SCD patientA0054	GSM860251
Blood SCD patientA0057	GSM860252
Blood SCD patientA0058	GSM860253
Blood SCD patientA0059	GSM860254
Blood SCD patientA0061	GSM860255
Blood SCD patientA0062	GSM860256
Blood SCD patientA0063	GSM860257
Blood SCD patientA0065	GSM860258
Blood SCD patientA0066	GSM860259
Blood SCD patientA0067	GSM860260
Blood SCD patientA0068	GSM860261
Blood SCD patientA0069	GSM860262
Blood SCD patientA0070	GSM860263
Blood SCD patientA0071	GSM860264
Blood SCD patientA0072	GSM860265
Blood SCD patientA0074	GSM860266
Blood SCD patientA0075	GSM860267
Blood SCD patientA0076	GSM860268
Blood SCD patientA0077	GSM860269
Blood SCD patientA0079	GSM860270
Blood SCD patientA0080	GSM860271
Blood SCD patientA0082	GSM860272
Blood SCD patientA0085	GSM860273
Blood SCD patientA0086	GSM860274
Blood SCD patientA0087	GSM860275
Blood SCD patientA0089	GSM860276
Blood SCD patientA0090	GSM860277
Blood SCD patientA0091	GSM860278
Blood SCD patientA0093	GSM860279
Blood SCD patientA0094	GSM860280
Blood SCD patientA0095	GSM860281
Blood SCD patientA0096	GSM860282
Blood SCD patientA0098	GSM860283
Blood SCD patientA0099	GSM860284
Blood SCD patientA0100	GSM860285
Blood SCD patientA0101	GSM860286
Blood SCD patientA0103	GSM860287
Blood SCD patientA0104	GSM860288
Blood SCD patientA0105	GSM860289
Blood SCD patientA0106	GSM860290
Blood SCD patientA0107	GSM860291
Blood SCD patientA0108	GSM860292
Blood SCD patientA0109	GSM860293
Blood SCD patientA0111	GSM860294
Blood SCD patientA0113	GSM860295
Blood SCD patientA0114	GSM860296
Blood SCD patientA0115	GSM860297
Blood SCD patientA0116	GSM860298
Blood SCD patientA0117	GSM860299
Blood SCD patientA0118	GSM860300
Blood SCD patientA0119	GSM860301
Blood SCD patientA0120	GSM860302
Blood SCD patientA0121	GSM860303
Blood SCD patientA0122	GSM860304
Blood SCD patientA0123	GSM860305
Blood SCD patientA0124	GSM860306
Blood SCD patientA0125	GSM860307
Blood SCD patientA0126	GSM860308
Blood SCD patientA0127	GSM860309
Blood SCD patientA0129	GSM860310
Blood SCD patientA0130	GSM860311
Blood SCD patientA0132	GSM860312
Blood SCD patientA0133	GSM860313
Blood SCD patientA0134	GSM860314
Blood SCD patientA0135	GSM860315
Blood SCD patientA0136	GSM860316
Blood SCD patientA0137	GSM860317
Blood SCD patientA0141	GSM860318
Blood SCD patientA0144	GSM860319
Blood SCD patientA0150	GSM860320
Blood SCD patientA0156	GSM860321
Blood SCD patientA0160	GSM860322
Blood SCD patientA0163	GSM860323
Blood SCD patientA0166	GSM860324
Blood SCD patientA0168	GSM860325
Blood SCD patientA0169	GSM860326
Blood SCD patientA0170	GSM860327
Blood SCD patientA0174	GSM860328
Blood SCD patientA0178	GSM860329
Blood SCD patientA0190	GSM860330
Blood SCD patientA0192	GSM860331
Blood SCD patientA0193	GSM860332
Blood SCD patientA0196	GSM860333
Blood SCD patientA0197	GSM860334
Blood SCD patientA0202	GSM860335
Blood SCD patientA0205	GSM860336
Blood SCD patientA0210	GSM860337
Blood SCD patientA0214	GSM860338
Blood SCD patientA0215	GSM860339
Blood SCD patientA0217	GSM860340
Blood SCD patientA0218	GSM860341
Blood SCD patientA0219	GSM860342
Blood SCD patientA0220	GSM860343
Blood SCD patientA0223	GSM860344
Blood SCD patientA0224	GSM860345
Blood SCD patientA0226	GSM860346
Blood SCD patientA0227	GSM860347
Blood SCD patientA0228	GSM860348
Blood SCD patientA0230	GSM860349
Blood SCD patientA0234	GSM860350
Blood SCD patientA0235	GSM860351
Blood SCD patientA0236	GSM860352
Blood SCD patientA0237	GSM860353
Blood SCD patientA0239	GSM860354
Blood SCD patientA0240	GSM860355
Blood SCD patientA0242	GSM860356
Blood SCD patientA0243	GSM860357
Blood SCD patientA0244	GSM860358
Blood SCD patientA0249	GSM860359
Blood SCD patientA0251	GSM860360
Blood SCD patientA0252	GSM860361
Blood SCD patientA0258	GSM860362
