ID_REF	GSM4140293	GSM4140294	GSM4140295	GSM4140296	GSM4140297	GSM4140298	GSM4140299	GSM4140300	GSM4140301	GSM4140302
ILMN_1343291	NA	2206.3	275.3	462.7	1544.3	1261.3	1149.5	675.4	2022.2	NA
ILMN_1343295	1535.5	2035.3	281	351.3	1112.8	828.2	1286	1033	1947.7	1084.4
ILMN_1651228	329.2	353.7	NA	192.9	225.3	246.9	244.5	901.9	388.1	NA
ILMN_1651229	NA	NA	150.4	208.1	128.8	123.5	253.6	297	244.8	NA
ILMN_1651254	165.2	NA	90.5	118.9	NA	290.5	208.8	169.1	301.8	201.5
ILMN_1651262	110.2	160	75.3	80.2	108.2	103.4	95.2	86.6	171.9	125.5
ILMN_1651315	295.7	NA	210.3	273.6	274.5	NA	303.6	293.8	256.3	182.4
ILMN_1651354	1676.1	1914.5	193.7	325.7	780.7	572.3	917	910	469.5	222.5
ILMN_1651385	397.1	416.1	206.7	253	164.6	NA	236.3	379	437	NA
ILMN_1651405	527.8	NA	226.9	269.6	307.1	254.7	334.5	420.5	475.9	387.9
